DEGs for -1.0: AC108134.4, MIR4458HG, AL353572.4, ZSCAN16-AS1, COX7A1, CRAT, MT1F, AC073896.2, FXYD2, AMHR2
DEGs for 0.0: KRT6A, KRT13, KLK8, CDA, GJB4, KLK7, KRT6B, FAM83A, WFDC3, KRT17
DEGs for 1.0: TFF3, FXYD3, AQP5, TMEM238, TMEM92, LGALS4, AC008397.1, TFF1, CDC42EP5, REG4
DEGs for 2.0: LY6E, LGALS7B, C1QTNF12, AL109920.1, EFCC1, AC025857.2, PF4, SPINK13, PLBD1, SMIM6
DEGs for 3.0: C9orf152, SUCLG2, IMPDH2, SLC12A2, ABHD14B, DEGS2, FIBCD1, BCL2L14, FABP6, RAB3D
DEGs for 4.0: CAMK2N1, HEBP2, LGALS3, PERP, SMAP1, LY6K, CT83, WASL, CHMP2B, BAG1
DEGs for 5.0: DGKH, SMURF2, AL160272.1, AL138689.1, IVNS1ABP, PLEKHG1, KDM5B, SKIL, RNF24, AC008781.3
DEGs for 6.0: PDCD5, NME1, GTF3A, UCHL3, NME2, AHCY, PPIA, POLR2H, CLIC1, VDAC1
DEGs for 7.0: SLC30A2, BICDL2, UGT1A1, AP1G2, SHROOM1, TRPM5, ANKRD36C, AL590644.1, CDK5RAP3, SLC26A6
DEGs for 8.0: VSNL1, DNAJC15, SKAP2, GNG4, TM9SF2, ADSS, EPHX4, FSCN1, NOTUM, LINC00623
DEGs for 9.0: S100A12, S100A8, MSLN, TFF3, HLA-G, CST6, CSTA, S100A6, MIA, ECM1
DEGs for 10.0: NUDT15, SNX5, HNRNPAB, NUCKS1, ANP32B, PARP1, MCM3, POLE3, MTHFD1, SNRPA
DEGs for 11.0: ERN2, GALNT6, OSBPL7, PSD4, SGSM3, ADCK5, TNFRSF14-AS1, BAIAP2L2, FUT6, CYP2C9
DEGs for 12.0: CPA6, PDZD3, BX255925.1, FAM153B, ADAM28, HOXA-AS2, MOGAT1, SLC26A5, NR1H3, UBA7
DEGs for 13.0: CXCL17, FAM3D, CHP1, ANG, SEZ6L2, AP002498.1, TFF3, PSCA, CYP1B1, ZG16B
DEGs for 14.0: VAPA, ACBD3, UFM1, SPOPL, RNF2, TMEM183A, DESI2, SUGT1, RNF6, TAX1BP1
DEGs for 15.0: DNAJC10, SH2D4A, MTFR1, GALNT7, SYT13, RIOX2, NORAD, TM9SF3, KTN1, ATE1
DEGs for 16.0: LMOD3, VIM, EMP3, GADD45G, THAP2, AC010864.1, SPRY1, LINC01943, TGFB1, ITM2A
DEGs for 17.0: SNHG5, KLRB1, PABPC1, RNF125, GAS5, TGFBR3, ZFP36L2, AC011389.2, AL732437.3, AC008870.3
DEGs for 18.0: MT-ND5, MT-ATP8, MT-ND2, MT-ND4L, MT-ND4, MT-CYB, MT-ND6, MT-ND3, MT-CO1, MT-ND1
DEGs for 19.0: PKHD1L1, TGFB2, AC002076.1, PRKCG, EDN1, DCAF12L1, BX539320.1, ICAM5, TNC, AC011239.1
DEGs for 20.0: DGUOK, LINC01857, TNNI3, AL392172.1, RPL36AL, DHPS, AC010642.2, MRPL54, TRMT112, HAX1
DEGs for 21.0: LINC02308, BARX1, AL359555.4, IGFBP2, CCDC85B, PGM5P4-AS1, OTOR, LINC01985, AC022035.1, LECT2
DEGs for 22.0: MRPL40, COX14, NCBP2AS2, LINC00853, SCG5, MYL6B, DDT, UQCR10, DNAJC19, NDUFC1
DEGs for 23.0: SDC4, SERPINB4, IL1RN, CXCL5, PTAFR, CXCR1, RHOF, AL354953.1, B4GALT1, AL356234.3
DEGs for 24.0: IGFALS, ITIH2, CLTRN, GGTLC1, APOBEC2, DOK7, LYPD1, POR, TAPBPL, VTN
DEGs for 25.0: LINC00886, KCNJ5, IYD, KCTD12, DUS3L, SHH, AC009093.4, ASPSCR1, AC044893.1, C11orf49
DEGs for 26.0: NBN, DENR, DDX1, CLUAP1, GUCY1B1, SMARCA1, PRUNE1, FILIP1L, TYW1, NIPSNAP2
DEGs for 27.0: MAOA, ZBED3, SRPK2, MFF, INIP, SH3YL1, HHEX, WWTR1, ID4, ZNF639
DEGs for 28.0: PLA2G1B, CPA1, SYCN, MT-ND6, AC103706.1, LAG3, WNT10B, CD300E, CTRB1, AMY2A
DEGs for 29.0: AC107208.1, AL135999.1, ZNF862, AC132938.1, AL133325.3, CLCNKA, ST8SIA5, GP1BB, DNAH12, LINC01832
DEGs for 30.0: ADAMTSL3, SLITRK4, TGFB3, CYBRD1, SFRP4, AC027807.2, GLP2R, MOXD1, ANTXR1, ECRG4
DEGs for 31.0: TMIGD2, MYBL1, SIGLEC6, CNTLN, AC243960.1, Z82206.1, PRR7-AS1, TRIM59, DNA2, RNF157
DEGs for 32.0: AC233723.1, AL512283.2, SERPINA6, AC008780.1, ERP27, LRRC29, GPHA2, SLC48A1, WFIKKN2, EPHX1
DEGs for 33.0: AL049543.1, AC111000.4, VWA3A, AL450327.1, NFASC, ERVK9-11, AC022898.2, AL009179.2, GAS6-AS1, AC091946.2
DEGs for 34.0: C4BPA, ITIH2, NEURL3, FGG, VNN2, NR1H4, C8B, APOBEC2, GGTLC1, TLR5
DEGs for 35.0: LEFTY2, CATIP, PLPP2, LIPC, POR, ARSE, AP003465.1, AC025811.1, LRRC61, ESRRA
DEGs for 36.0: GUCY1B1, SMC3, TRAK2, ORC3, HLTF, RFC1, CBX5, CHST14, GOT2, ERVMER34-1
DEGs for 37.0: IGHD, AC111182.1, AC010643.1, AC015813.4, IGHV2-5, IRX6, IGHV4-59, AC108752.1, IGHV4-4, REELD1
DEGs for 38.0: PEX6, TRAK2, FMO1, GUCY1A1, TCEAL4, LEF1, ROBO2, HLTF, AFG3L2, VAV3
