DEGs for 0.000501004920681282: SLC3A1, AC111182.1, SLC2A12, ST8SIA3, PFKFB1, LIPC, AC025811.1, AC005697.2, AC093326.1, GSG1
DEGs for 0.0008357151504300063: TCEAL4, AL138930.1, CSRP2, MT1F, COX7A1, AL355102.4, NRTN, HADHA, CEND1, C9orf24
DEGs for 0.0008759363119912578: NEURL3, LRRC29, CTSH, PLPP2, SERPINA6, LINC01645, AC233723.1, DEFB1, IGFALS, C8B
DEGs for 0.0012423654300823673: LAMC1, SIAE, BICC1, GRHL2, AC100803.2, TMTC3, M6PR, SCARB2, CROT, TCTN2
DEGs for 0.0026265406341344152: FAIM, LRRN4, SPA17, PIFO, FJX1, CRYAB, KCNMB4, HMGN3, MLF2, GYPC
DEGs for 0.0027820652099528275: SLC12A2, FBP2, SULT1E1, SUCLG2, FUT8, MMP1, BCL2L14, UGT8, TDGF1, TESC
DEGs for 0.0028453910878101954: IGKV2D-28, IGKV3-11, IGHV5-51, IGLV5-45, IGHV5-10-1, IGLV1-44, IGHV3-7, IGHV3-53, IGHV3-66, IGHV3-11
DEGs for 0.004163088559301871: LINC01187, ERN2, MYBPC1, PGC, OSBPL7, CRACR2B, CSKMT, COL11A2, FAM83E, IL17RE
DEGs for 0.004450225442634742: AC107208.1, ZNF862, TRO, AL135999.1, LINC01832, NFASC, AC022898.2, VWA3A, ERVK9-11, AL049543.1
DEGs for 0.0050043300012359475: LGALS4, TMEM238, CALML4, AC008397.1, AKR7A3, TSTA3, AGR2, NQO1, MPG, FIBCD1
DEGs for 0.005086006848113943: C6orf47, AATF, DDX23, RNF40, ULBP3, SART1, STK39, FOXE1, DCTN1, C11orf49
DEGs for 0.0051120492846527515: SDC4, ST14, SERPINB4, AC020661.1, SLC6A14, GUCA2A, KLHDC7B, AL356234.3, THEM5, CRYBG2
DEGs for 0.005465250251108827: RYBP, COQ10B, SQSTM1, PARD6B, MARCH3, CHMP2B, KLHL21, UAP1, KIAA0040, MPZL3
DEGs for 0.005504608040462851: AL359555.4, TMEM191B, LGALS7, PARAL1, IL36B, DNAJC5B, LINC02308, AC092809.2, AL953883.1, CRHR1
DEGs for 0.005515239481008856: EFNB2, FSCN1, SKAP2, SPTSSB, ADSS, KCTD15, SERPINB5, GNG4, TFDP1, IL1R2
DEGs for 0.005524799466179097: TGFB1, TNFSF13B, HECW2-AS1, VIM, LINC02328, TMEM273, PDE6H, EMP3, AL356055.1, SUSD3
DEGs for 0.006067627485740039: SH2D6, AC108477.2, AC135782.1, SAP25, MIRLET7BHG, ARHGAP40, ITGA10, SMCR5, SPINK5, AC073957.3
DEGs for 0.006538392048134771: FERMT2, KCNE4, ADCYAP1R1, FXYD1, MT2A, SELENOM, HES7, SSPN, TCEAL7, GPX3
DEGs for 0.006862217242982564: FGF19, TMEM176A, BBOX1, TRIM17, LY6K, SAA4, CCL28, AL499602.1, AL353730.1, ALDOB
DEGs for 0.0077990119606530465: CLTB, KLK10, PPP1R14B-AS1, RRAS, RHOD, RAC1, KLK8, CLDN7, CDA, UPK1B
DEGs for 0.01241937848395281: TIMP1, SSR4, PLA2G2A, SH3BGRL3, C19orf33, CST3, ARPC1B, TMSB10, S100A6, SFTA2
DEGs for 0.012808359879543115: MT-ND1, MT-ND3, MT-ATP6, MT-CYB, MT-CO2, MT-CO3, MT-ND4, MT-CO1, MT-ND2, MT-ND4L
